customer_id,full_name,email,country,join_date,segment,is_active
46,Philip Cannon,philipcannon_46@example.com,United States,2023-04-14,retail,True
47,John Pierce,johnpierce_47@example.com,Australia,2022-05-26,retail,True
48,Shane Henderson,shanehenderson_48@example.com,India,2023-03-15,retail,True
49,Joshua Blair,joshuablair_49@example.com,Brazil,2024-08-26,retail,True
50,Eric Carney,ericcarney_50@example.com,Singapore,2023-01-25,retail,True
51,Jessica Holmes,jessicaholmes_51@example.com,Australia,2024-05-17,retail,True
52,Danny Morgan,dannymorgan_52@example.com,United States,2022-07-21,retail,True
53,Crystal Robinson,crystalrobinson_53@example.com,United Kingdom,2023-05-25,retail,True
54,Mark Perez,markperez_54@example.com,Canada,2024-05-14,retail,True
55,Shannon Jones,shannonjones_55@example.com,United Kingdom,2024-06-26,business,True
56,Michael Lewis,michaellewis_56@example.com,United Kingdom,2022-04-14,retail,True
57,Timothy Duncan,timothyduncan_57@example.com,United States,2022-07-11,business,True
58,Richard Aguirre,richardaguirre_58@example.com,Canada,2024-04-12,retail,True
59,Brent Jordan,brentjordan_59@example.com,Singapore,2022-05-01,retail,True
60,John Daniel,johndaniel_60@example.com,Singapore,2023-06-28,business,True
61,Victoria Garcia,victoriagarcia_61@example.com,France,2024-05-16,retail,True
62,Gerald Hensley,geraldhensley_62@example.com,Japan,2024-09-23,retail,True
63,Connor West,connorwest_63@example.com,United States,2022-05-05,retail,True
64,Donald Wright,donaldwright_64@example.com,Brazil,2024-09-03,retail,True
65,Jessica Callahan,jessicacallahan_65@example.com,Canada,2022-04-27,premium,True
66,Amber Kidd,amberkidd_66@example.com,Canada,2022-05-21,retail,True
67,Tracy House,tracyhouse_67@example.com,Germany,2024-04-06,retail,True
68,Carol Tucker,caroltucker_68@example.com,Germany,2022-03-23,retail,True
69,James Brown,jamesbrown_69@example.com,Brazil,2024-12-06,retail,True
70,William Baker,williambaker_70@example.com,Australia,2023-05-04,retail,True
71,Jordan Henderson,jordanhenderson_71@example.com,France,2024-07-25,retail,True
72,Whitney Peters,whitneypeters_72@example.com,United Kingdom,2022-01-20,retail,False
73,Brittney Phillips,brittneyphillips_73@example.com,United Kingdom,2022-05-31,retail,True
74,Lauren Daniels,laurendaniels_74@example.com,Canada,2023-12-16,business,True
75,Amy Silva,amysilva_75@example.com,Australia,2023-08-07,retail,True
76,Sarah Moore,sarahmoore_76@example.com,France,2024-12-19,retail,True
77,Angela Lopez,angelalopez_77@example.com,France,2022-08-01,business,True
78,Megan Young,meganyoung_78@example.com,United Kingdom,2022-08-08,retail,True
79,Steve Sanchez,stevesanchez_79@example.com,France,2023-03-08,retail,True
80,Lisa Barnes,lisabarnes_80@example.com,France,2024-11-01,retail,False
81,Kelly Donovan,kellydonovan_81@example.com,United States,2022-07-09,retail,True
82,Mike Allen,mikeallen_82@example.com,United States,2022-01-08,retail,True
83,Michael Evans,michaelevans_83@example.com,France,2022-11-27,retail,True
84,Paul Jones,pauljones_84@example.com,Singapore,2022-01-20,retail,False
85,Zachary Ferrell,zacharyferrell_85@example.com,Canada,2022-03-15,business,True
86,Daniel Baker,danielbaker_86@example.com,Canada,2024-05-30,retail,True
87,Shirley Suarez,shirleysuarez_87@example.com,United States,2024-01-03,retail,True
88,Christopher Bass,christopherbass_88@example.com,United Kingdom,2023-12-26,retail,True
89,Lisa Archer,lisaarcher_89@example.com,Singapore,2022-11-13,business,True
90,Aimee Montoya,aimeemontoya_90@example.com,Canada,2022-12-29,business,True
91,Matthew Mcmillan,matthewmcmillan_91@example.com,Australia,2024-04-23,business,True
92,Brian Rodriguez,brianrodriguez_92@example.com,Germany,2023-07-01,retail,True
93,Denise Jacobs,denisejacobs_93@example.com,Singapore,2022-03-21,business,True
94,Christina Walters,christinawalters_94@example.com,India,2023-12-18,retail,True
95,John Whitehead,johnwhitehead_95@example.com,Germany,2023-04-02,retail,True
96,Anna Henderson,annahenderson_96@example.com,Australia,2023-07-25,business,False
97,Aaron Wise,aaronwise_97@example.com,France,2023-12-21,retail,True
98,Deborah Figueroa,deborahfigueroa_98@example.com,Japan,2023-11-10,business,True
99,Jessica Smith,jessicasmith_99@example.com,France,2023-01-01,retail,False
100,Stephen Mckee,stephenmckee_100@example.com,United States,2022-08-11,retail,True
101,Sandra Aguilar,sandraaguilar_101@example.com,Australia,2024-06-12,retail,True
102,Cameron Parker,cameronparker_102@example.com,Singapore,2023-01-25,retail,True
103,Rebecca Valencia,rebeccavalencia_103@example.com,United States,2024-11-30,business,True
104,Christine Wright,christinewright_104@example.com,Germany,2024-01-16,retail,False
105,Richard Henson,richardhenson_105@example.com,Australia,2023-10-05,retail,True
106,Marc Moore,marcmoore_106@example.com,France,2024-11-04,retail,True
107,Sharon Cherry,sharoncherry_107@example.com,Singapore,2023-08-29,retail,True
108,Sierra Johnson,sierrajohnson_108@example.com,Singapore,2022-12-23,retail,True
109,Evelyn Galvan,evelyngalvan_109@example.com,Japan,2022-01-01,retail,True
110,Sharon Cochran,sharoncochran_110@example.com,Brazil,2023-10-22,retail,True
111,Richard Rodriguez,richardrodriguez_111@example.com,Germany,2024-11-12,retail,False
112,Shannon Walker,shannonwalker_112@example.com,Canada,2022-06-23,retail,True
113,Julia Torres,juliatorres_113@example.com,Brazil,2023-11-18,retail,False
114,Crystal Johnson,crystaljohnson_114@example.com,Germany,2023-09-28,retail,True
115,Garrett Lin,garrettlin_115@example.com,United States,2022-04-05,retail,True
116,Diana May,dianamay_116@example.com,United Kingdom,2024-07-21,retail,True
117,William Herrera,williamherrera_117@example.com,Germany,2024-02-26,retail,True
118,Ashley Waller,ashleywaller_118@example.com,United States,2022-08-07,retail,True
119,Victor Baker,victorbaker_119@example.com,Japan,2024-08-09,retail,True
120,Jeffrey Chandler,jeffreychandler_120@example.com,United Kingdom,2024-07-23,retail,True
121,Larry Dixon,larrydixon_121@example.com,Japan,2023-10-12,premium,True
122,Kenneth Scott,kennethscott_122@example.com,Brazil,2024-10-30,retail,False
123,April Frost,aprilfrost_123@example.com,India,2022-11-22,retail,True
124,Michelle Harmon,michelleharmon_124@example.com,France,2023-05-22,business,True
125,Helen Jones,helenjones_125@example.com,Japan,2024-09-19,retail,True
126,Erin Edwards,erinedwards_126@example.com,United Kingdom,2023-08-09,retail,True
127,Michelle Evans,michelleevans_127@example.com,Japan,2022-06-15,retail,True
128,Jason Powell,jasonpowell_128@example.com,Canada,2023-03-15,retail,True
129,Cameron Fisher,cameronfisher_129@example.com,Japan,2024-08-12,retail,True
130,Megan Orr,meganorr_130@example.com,Singapore,2024-03-08,business,True
131,Elizabeth Kelley,elizabethkelley_131@example.com,United States,2024-02-19,retail,False
132,Dustin Jordan,dustinjordan_132@example.com,France,2024-03-09,business,False
133,Mary Marshall,marymarshall_133@example.com,Singapore,2023-03-28,retail,True
134,Daniel Kennedy,danielkennedy_134@example.com,India,2022-03-01,retail,True
135,Rebecca Jackson,rebeccajackson_135@example.com,Singapore,2022-12-05,business,False
136,Jose Schultz,joseschultz_136@example.com,Brazil,2024-12-29,retail,True
137,Robert Potter,robertpotter_137@example.com,Brazil,2022-02-25,retail,True
138,Courtney Gonzalez,courtneygonzalez_138@example.com,India,2023-01-08,retail,True
139,David Alvarez,davidalvarez_139@example.com,Germany,2024-07-20,retail,True
140,Angel Perry,angelperry_140@example.com,Singapore,2023-07-24,retail,True
141,Cheyenne Horton,cheyennehorton_141@example.com,France,2022-06-17,retail,True
142,David Douglas Jr.,daviddouglasjr_142@example.com,United States,2023-12-18,retail,True
143,Patricia Rodriguez,patriciarodriguez_143@example.com,United States,2022-03-05,business,True
144,Christopher Rubio,christopherrubio_144@example.com,United States,2022-11-09,retail,True
145,Amber Wright,amberwright_145@example.com,United Kingdom,2023-03-23,retail,True
146,Joyce Solis,joycesolis_146@example.com,Australia,2022-12-10,retail,False
147,Victoria Larson,victorialarson_147@example.com,United Kingdom,2022-12-02,premium,True
148,Stephanie Salazar,stephaniesalazar_148@example.com,United States,2023-10-01,retail,False
149,Kathy Rivas,kathyrivas_149@example.com,Singapore,2024-03-23,business,True
150,Stephanie Manning,stephaniemanning_150@example.com,Brazil,2023-05-13,retail,True
151,David Wright,davidwright_151@example.com,Brazil,2022-09-05,retail,True
152,Pamela Boyd,pamelaboyd_152@example.com,United States,2023-12-13,retail,True
153,Denise Jones,denisejones_153@example.com,United Kingdom,2024-11-02,retail,True
154,Devon Flores,devonflores_154@example.com,Singapore,2024-09-30,retail,False
155,Brenda Hall,brendahall_155@example.com,India,2022-11-10,retail,True
156,Michelle Brown,michellebrown_156@example.com,France,2024-09-17,retail,True
157,Joshua Perry,joshuaperry_157@example.com,Brazil,2023-07-04,retail,True
158,Jason Stein,jasonstein_158@example.com,United Kingdom,2023-07-26,business,True
159,Melissa Gates,melissagates_159@example.com,India,2024-02-16,retail,True
160,Jamie Smith,jamiesmith_160@example.com,Australia,2023-01-08,retail,True
161,Paul Castaneda,paulcastaneda_161@example.com,France,2023-11-29,retail,True
162,Jennifer Adkins,jenniferadkins_162@example.com,France,2022-01-21,retail,True
163,Lindsey Walker,lindseywalker_163@example.com,Germany,2024-04-12,retail,True
164,Jeffrey Johnson,jeffreyjohnson_164@example.com,India,2024-10-02,retail,True
165,Michael Powell,michaelpowell_165@example.com,France,2023-03-30,retail,True
166,John Anderson,johnanderson_166@example.com,Brazil,2024-01-26,retail,True
167,Alyssa Long,alyssalong_167@example.com,Singapore,2023-11-09,retail,True
168,Alyssa Day,alyssaday_168@example.com,France,2023-05-30,retail,True
169,Joel Williams,joelwilliams_169@example.com,Australia,2022-09-02,retail,False
170,Daniel Murphy,danielmurphy_170@example.com,Canada,2023-01-28,retail,True
171,Jamie Walton,jamiewalton_171@example.com,Brazil,2024-12-10,retail,False
172,Darlene Miller,darlenemiller_172@example.com,Germany,2023-08-30,retail,True
173,Joshua Cooke,joshuacooke_173@example.com,United States,2024-12-29,retail,True
174,Matthew Harrington,matthewharrington_174@example.com,United States,2023-08-22,retail,True
175,Nicole Herring,nicoleherring_175@example.com,India,2022-07-30,business,True
176,Alex Hernandez,alexhernandez_176@example.com,India,2024-09-07,retail,True
177,Michael Elliott,michaelelliott_177@example.com,United States,2023-06-02,business,True
178,Michael Wang,michaelwang_178@example.com,United Kingdom,2024-03-31,retail,True
179,Lawrence Adkins,lawrenceadkins_179@example.com,United States,2022-11-07,retail,True
180,Robert Oconnell,robertoconnell_180@example.com,France,2022-06-24,premium,True
181,Alexander Collins,alexandercollins_181@example.com,Singapore,2023-04-08,retail,True
182,Tina Sanders,tinasanders_182@example.com,India,2023-09-01,business,False
183,Angela Vaughn,angelavaughn_183@example.com,France,2022-05-04,retail,True
184,Ashley Barton,ashleybarton_184@example.com,Germany,2023-03-09,retail,True
185,Lindsay Martinez,lindsaymartinez_185@example.com,Germany,2022-12-22,retail,True
186,Dr. Hannah Patterson,drhannahpatterson_186@example.com,Singapore,2024-07-11,retail,True
187,Jonathan Peterson,jonathanpeterson_187@example.com,United States,2023-04-20,retail,True
188,Samantha Garcia,samanthagarcia_188@example.com,India,2022-05-26,retail,False
189,Madison Poole,madisonpoole_189@example.com,Brazil,2023-02-10,retail,True
190,Jessica Gross,jessicagross_190@example.com,Canada,2023-06-29,business,True
191,Debra Morton,debramorton_191@example.com,Canada,2023-09-22,retail,True
192,Karen Graham,karengraham_192@example.com,France,2024-06-18,retail,True
193,Debra Christian,debrachristian_193@example.com,Singapore,2023-07-12,retail,True
194,Angelica Keith,angelicakeith_194@example.com,United Kingdom,2022-03-23,business,True
195,John Bishop,johnbishop_195@example.com,Brazil,2023-05-28,retail,True
196,Allen Rosales,allenrosales_196@example.com,Brazil,2022-02-12,premium,True
197,Daniel Salinas,danielsalinas_197@example.com,France,2022-03-24,retail,True
198,Spencer Haynes,spencerhaynes_198@example.com,Japan,2024-06-24,business,True
199,Adam Vaughan,adamvaughan_199@example.com,Brazil,2024-06-11,retail,True
200,Nathan Freeman,nathanfreeman_200@example.com,United Kingdom,2024-08-20,retail,True
201,Melissa Brewer,melissabrewer_201@example.com,United Kingdom,2022-11-26,retail,True
202,Ricky Davis II,rickydavisii_202@example.com,France,2024-03-31,business,True
203,Elizabeth Perkins,elizabethperkins_203@example.com,India,2022-06-30,retail,True
204,Joseph Coleman,josephcoleman_204@example.com,Singapore,2024-11-19,business,True
205,Erin Warner,erinwarner_205@example.com,Japan,2024-08-04,retail,True
206,David Martinez,davidmartinez_206@example.com,Australia,2024-10-17,retail,True
207,Bryan Herrera,bryanherrera_207@example.com,Germany,2023-07-01,retail,False
208,Cathy Robinson,cathyrobinson_208@example.com,India,2024-09-19,retail,False
209,Dr. William Warren,drwilliamwarren_209@example.com,Brazil,2023-05-06,retail,True
210,Brian Lee,brianlee_210@example.com,United States,2024-04-15,retail,False
211,Christopher Smith,christophersmith_211@example.com,United Kingdom,2024-08-03,business,True
212,Denise Mccann,denisemccann_212@example.com,Canada,2024-10-17,business,True
213,Melissa Martinez,melissamartinez_213@example.com,France,2024-04-30,business,False
214,Katherine Salas,katherinesalas_214@example.com,Germany,2024-07-24,retail,True
215,Julie Alexander,juliealexander_215@example.com,Brazil,2024-11-06,retail,True
216,Anthony Everett,anthonyeverett_216@example.com,United Kingdom,2023-07-20,retail,True
217,Rodney Morales,rodneymorales_217@example.com,Australia,2024-11-05,retail,True
218,Mark Brown,markbrown_218@example.com,France,2024-09-29,business,True
219,Justin Torres,justintorres_219@example.com,India,2023-12-08,retail,True
220,Bailey Duran DDS,baileydurandds_220@example.com,Singapore,2024-07-21,business,True
221,Courtney Mills,courtneymills_221@example.com,Germany,2024-02-24,retail,True
222,Jeremy Dalton,jeremydalton_222@example.com,United States,2023-10-14,retail,True
223,Elizabeth Oliver DDS,elizabetholiverdds_223@example.com,Singapore,2024-03-01,premium,True
224,Theresa Clark,theresaclark_224@example.com,Canada,2024-10-11,premium,True
225,Matthew Moore,matthewmoore_225@example.com,Brazil,2023-11-11,business,True
226,Benjamin Smith,benjaminsmith_226@example.com,India,2022-07-24,retail,True
227,Kirk Carter,kirkcarter_227@example.com,Canada,2024-04-19,business,False
228,Michael Warner,michaelwarner_228@example.com,United Kingdom,2024-08-19,retail,True
229,Michael Bradshaw,michaelbradshaw_229@example.com,Brazil,2024-03-25,retail,True
230,Lori Guerrero,loriguerrero_230@example.com,Japan,2024-02-18,premium,True
231,Jessica Stephens,jessicastephens_231@example.com,India,2022-03-15,retail,True
232,Susan Serrano,susanserrano_232@example.com,France,2023-04-11,retail,True
233,Christopher Parker,christopherparker_233@example.com,United Kingdom,2022-07-25,retail,True
234,Laura Roberts,lauraroberts_234@example.com,United States,2022-04-05,retail,True
235,Michael Lyons,michaellyons_235@example.com,Australia,2024-02-07,retail,True
236,Kathryn Snyder,kathrynsnyder_236@example.com,Singapore,2023-01-04,retail,True
237,Andrew Reynolds,andrewreynolds_237@example.com,Singapore,2023-05-09,retail,True
238,David Davis,daviddavis_238@example.com,Germany,2024-08-02,retail,True
239,Sara Johnston,sarajohnston_239@example.com,United States,2024-08-10,business,True
240,Yvonne Chambers,yvonnechambers_240@example.com,Canada,2022-06-01,retail,True
241,Andrew Avila,andrewavila_241@example.com,Brazil,2023-09-05,retail,True
242,Matthew Moon,matthewmoon_242@example.com,France,2024-07-24,business,True
243,Kevin Walters,kevinwalters_243@example.com,Singapore,2024-09-16,retail,True
244,Brandon Bailey MD,brandonbaileymd_244@example.com,Australia,2023-08-29,premium,True
245,Shannon Rivera,shannonrivera_245@example.com,Singapore,2023-07-17,retail,True
246,Donna Landry,donnalandry_246@example.com,United States,2024-10-14,business,False
247,Krista Gibson,kristagibson_247@example.com,Germany,2023-12-23,retail,True
248,Frank Cordova,frankcordova_248@example.com,France,2022-10-08,retail,False
249,Jose Travis,josetravis_249@example.com,United States,2023-09-25,retail,True
250,Kimberly Gutierrez,kimberlygutierrez_250@example.com,Australia,2022-09-27,retail,True
251,Isaiah Avila,isaiahavila_251@example.com,Singapore,2022-12-26,retail,True
252,Olivia Harris,oliviaharris_252@example.com,Australia,2024-12-23,retail,True
253,Tanya Kim,tanyakim_253@example.com,Canada,2023-06-11,business,False
254,Barbara Dudley,barbaradudley_254@example.com,France,2023-11-25,business,True
255,Cynthia Moore,cynthiamoore_255@example.com,United Kingdom,2022-10-16,retail,True
256,Kristen Davis,kristendavis_256@example.com,Singapore,2024-01-20,retail,True
257,Susan Murray MD,susanmurraymd_257@example.com,France,2022-09-11,retail,True
258,Kathleen Moran,kathleenmoran_258@example.com,France,2024-02-20,business,False
259,Denise Davenport,denisedavenport_259@example.com,United Kingdom,2023-04-24,retail,True
260,Mrs. Kristen Reyes,mrskristenreyes_260@example.com,Japan,2023-11-03,business,True
261,Katie Suarez,katiesuarez_261@example.com,United Kingdom,2024-08-08,business,True
262,Desiree Tyler,desireetyler_262@example.com,Singapore,2022-08-27,retail,False
263,Timothy Romero,timothyromero_263@example.com,France,2024-10-05,retail,True
264,Diane Evans,dianeevans_264@example.com,Japan,2022-10-05,retail,True
265,Yvonne Burns,yvonneburns_265@example.com,Japan,2024-05-08,retail,True
266,Joshua Reed,joshuareed_266@example.com,Singapore,2022-07-22,business,True
267,Kimberly Gibson,kimberlygibson_267@example.com,France,2022-03-09,retail,True
268,Colin Terry,colinterry_268@example.com,India,2023-04-29,business,True
269,Cynthia Rowe,cynthiarowe_269@example.com,Australia,2024-01-05,retail,True
270,Patrick Thornton,patrickthornton_270@example.com,United Kingdom,2024-07-20,retail,True
271,Jasmin Alvarado,jasminalvarado_271@example.com,Brazil,2022-02-13,retail,True
272,Veronica Simpson,veronicasimpson_272@example.com,Canada,2023-02-25,retail,True
273,Jonathan Lawrence,jonathanlawrence_273@example.com,Germany,2023-03-19,business,True
274,Shelly Alexander,shellyalexander_274@example.com,Canada,2022-01-06,retail,False
275,Joyce Bowen,joycebowen_275@example.com,Canada,2023-05-29,retail,True
276,Matthew Moore,matthewmoore_276@example.com,United States,2022-09-27,retail,True
277,Wayne Morgan,waynemorgan_277@example.com,Germany,2023-10-26,retail,True
278,Marie Christian,mariechristian_278@example.com,Canada,2024-05-12,retail,True
279,Shannon James,shannonjames_279@example.com,India,2024-07-07,retail,True
280,Nathan Malone,nathanmalone_280@example.com,United Kingdom,2024-07-14,retail,False
281,Amanda Jones,amandajones_281@example.com,United States,2024-12-03,retail,True
282,Tammie Bright,tammiebright_282@example.com,United States,2022-05-05,premium,True
283,Jessica Garcia,jessicagarcia_283@example.com,Singapore,2022-08-10,retail,False
284,Shelia Wallace,sheliawallace_284@example.com,United Kingdom,2022-06-15,retail,True
285,Stephanie Williams,stephaniewilliams_285@example.com,Canada,2023-07-18,retail,True
286,Elaine Brooks,elainebrooks_286@example.com,Australia,2024-02-20,premium,True
287,Joseph Knight,josephknight_287@example.com,India,2024-11-01,retail,True
288,Carolyn Miller,carolynmiller_288@example.com,United Kingdom,2023-03-17,retail,True
289,Lisa Allen,lisaallen_289@example.com,Singapore,2023-11-26,business,True
290,Briana Murray,brianamurray_290@example.com,United Kingdom,2023-10-03,retail,True
291,David Smith,davidsmith_291@example.com,Australia,2022-11-09,retail,True
292,Stephanie Byrd,stephaniebyrd_292@example.com,United Kingdom,2022-06-24,retail,True
293,Jeremy Reed,jeremyreed_293@example.com,Australia,2022-09-24,retail,True
294,Margaret Coleman,margaretcoleman_294@example.com,Japan,2023-11-07,retail,True
295,Ryan Gonzalez,ryangonzalez_295@example.com,Singapore,2022-04-16,premium,True
296,John Young,johnyoung_296@example.com,Australia,2022-08-01,retail,True
297,Laura Haney,laurahaney_297@example.com,India,2023-04-05,business,True
298,William Barrett,williambarrett_298@example.com,Japan,2024-01-23,retail,True
299,Keith Jennings,keithjennings_299@example.com,Germany,2024-05-28,business,False
300,Amber Obrien,amberobrien_300@example.com,Brazil,2022-02-23,retail,True
301,Tanner Mitchell DDS,tannermitchelldds_301@example.com,France,2022-03-01,retail,True
302,Heather Fields,heatherfields_302@example.com,France,2023-11-27,retail,True
303,Megan Le,meganle_303@example.com,Canada,2024-03-31,retail,True
304,Sara Fuller,sarafuller_304@example.com,United States,2022-07-07,retail,True
305,Maria Parker,mariaparker_305@example.com,Singapore,2024-07-18,retail,True
306,Kevin Oconnor,kevinoconnor_306@example.com,Australia,2022-06-23,business,True
307,Edward Burgess,edwardburgess_307@example.com,Brazil,2022-04-12,retail,True
308,Carlos Ryan,carlosryan_308@example.com,Singapore,2024-09-21,retail,True
309,Kiara Mcintyre,kiaramcintyre_309@example.com,Germany,2024-11-15,retail,True
310,Dawn Summers,dawnsummers_310@example.com,France,2024-09-23,retail,True
311,Dr. Paul Morgan,drpaulmorgan_311@example.com,Germany,2024-03-20,premium,True
312,Victor Taylor,victortaylor_312@example.com,Germany,2023-09-10,business,True
313,Shannon Ramsey,shannonramsey_313@example.com,France,2023-08-16,retail,True
314,Tracy Ballard,tracyballard_314@example.com,Singapore,2022-12-26,retail,True
315,Richard Smith,richardsmith_315@example.com,Germany,2024-10-21,retail,True
316,Jordan Chambers,jordanchambers_316@example.com,Australia,2022-05-28,retail,True
317,Lauren Carson,laurencarson_317@example.com,Singapore,2022-02-08,retail,True
318,Ashley Hall,ashleyhall_318@example.com,Australia,2024-05-29,retail,True
319,Stephen Hoffman,stephenhoffman_319@example.com,Singapore,2023-08-16,retail,True
320,Connie Brown,conniebrown_320@example.com,Australia,2022-12-18,business,True
321,Susan Turner,susanturner_321@example.com,Australia,2022-06-30,retail,True
322,Charles Shah,charlesshah_322@example.com,Singapore,2024-03-31,retail,True
323,Johnathan Davis,johnathandavis_323@example.com,France,2023-11-27,retail,True
324,Brandy Chavez,brandychavez_324@example.com,United Kingdom,2024-11-11,retail,True
325,Natalie Bautista,nataliebautista_325@example.com,Germany,2023-12-17,retail,False
326,Patrick Moore,patrickmoore_326@example.com,Canada,2023-04-29,retail,True
327,Brett Burns,brettburns_327@example.com,Canada,2022-11-10,retail,True
328,Trevor Johnson,trevorjohnson_328@example.com,Canada,2024-10-08,retail,True
329,Jeremy Sampson,jeremysampson_329@example.com,Brazil,2024-07-08,retail,True
330,Ariana Jennings,arianajennings_330@example.com,Brazil,2023-10-24,business,True
331,Vanessa Howard,vanessahoward_331@example.com,Canada,2024-06-19,retail,True
332,Colton Martinez,coltonmartinez_332@example.com,France,2023-07-17,retail,True
333,Jordan Bates,jordanbates_333@example.com,United Kingdom,2023-09-28,retail,True
334,Linda Smith,lindasmith_334@example.com,Australia,2023-08-11,retail,True
335,Dana Martinez,danamartinez_335@example.com,United Kingdom,2024-11-04,retail,True
336,Andrea Hubbard,andreahubbard_336@example.com,United States,2024-07-10,business,True
337,Daniel Kane,danielkane_337@example.com,Germany,2023-10-21,retail,True
338,Charles Lester,charleslester_338@example.com,United States,2024-07-11,retail,True
339,Scott Thomas,scottthomas_339@example.com,Australia,2022-06-22,retail,True
340,David Thompson,davidthompson_340@example.com,Germany,2024-06-15,premium,True
341,Allison Smith,allisonsmith_341@example.com,Brazil,2022-11-22,retail,False
342,Cynthia Morris,cynthiamorris_342@example.com,Singapore,2024-04-17,retail,True
343,Anthony Harmon,anthonyharmon_343@example.com,United States,2023-11-17,retail,True
344,Nichole Alvarez,nicholealvarez_344@example.com,Singapore,2023-08-05,retail,True
345,Kayla Rodriguez,kaylarodriguez_345@example.com,Brazil,2022-11-04,retail,True
346,Theresa Williams,theresawilliams_346@example.com,Canada,2023-12-18,retail,True
347,Sharon Boyd,sharonboyd_347@example.com,Singapore,2022-09-22,retail,False
348,Victor Brown,victorbrown_348@example.com,France,2024-02-11,retail,True
349,James Parks,jamesparks_349@example.com,Canada,2024-12-14,retail,True
350,Theodore Jones Jr.,theodorejonesjr_350@example.com,Japan,2024-01-12,retail,True
351,Ana Hill,anahill_351@example.com,Germany,2023-12-01,business,True
352,Kimberly Nguyen,kimberlynguyen_352@example.com,Germany,2022-10-09,retail,True
353,Kerry Chavez DDS,kerrychavezdds_353@example.com,United Kingdom,2024-11-05,retail,True
354,Michael Farrell,michaelfarrell_354@example.com,Japan,2022-03-19,retail,True
355,Patricia Le,patriciale_355@example.com,Brazil,2022-09-26,retail,True
356,Jesse Perez,jesseperez_356@example.com,Canada,2022-12-06,retail,True
